review,별점
슾지 소녀의 삶. 연출력 연기력 다 좋았다,10
생각보다 지루해서 보기 힘들었으나초5딸은 재밌다고,6
재밋어요vvvvbvv,10
사물과 친분맺는걸 좋아하는 톰 아저씨는 역시 고립에 능해. 윌슨과 제프는 오랫동안 아저씨를 그리워할거야,9
제라드 버틀러는 어느새 액션 연기만큼은 다이하드의 브루스 윌리스를 닮아가고 있다.,7
대런 아로노프스키의 마법같은 잊혀진 배우를 소환하는 연출.,7
가볍게 볼 수 있는 영화라잘 봤습니다.,6
너무 재밌게 봤어요~ 대박!!!,10
피해망상영화 뭐냐이게,1
ㅈ 같아 너어무나 ㄱ 같음,2
그냥아무생각없이 웃고나오기엔 좋은것같아요 가끔 배우들이 너무오버해서 개콘느낌을받은건 아쉬웠지만 마지막장면은 압권이네요ㅋ,8
i  used to be someone,10
제목이 진범이라 어차피 반전이 있을걸 예상하고 봐서인지 대충 범인이 예상되긴 했지만 연출도 좋았고 꽤 볼만한 영화다,9
신고,10
아니 엄청 괜찮네요 괜히 평가때문에 안볼려다가 봤는데 보길 잘한거같아요,10
신고,10
너무 재미나게  보고왔어요꼭  한번  보세요~,10
비주얼 so good 스토리 so so,8
영화는 T.V와 다른요소.기법.창의력.연륜에서 묻어나는 센스~모든요소들이 맞아가야하는 고난이도 연출이쥬~모든사람은 자기분야에서 겸손하며 성실하게 지내면 아무탈없이 편한 노년을 지내게 됩니다 욕심은 삶을 힘들게 하죠...,6
어우 너무 재밌게 봤어요 연기는 말할것도 없구요 !! 개봉첫날 봤습니다,10
부모님들 취향에는 맞으실지 모르겠네요 저는 모르겠습니다,6
하도 논란이라 궁금해서 봤는데 이걸 좋다고 보는 관객들 참 수준 낮아.. 제정신이야? 아니면 안 보고 좋다는 거 아니야?,2
"영화도 수천편보앗고 겁자체가 없는사람으로써. ""아마추어들또뻔한스토리겟지"" 하고봣는데 이건 외관들도글코 내용.연출자체가 무서우면서 기이한편.   물론 너무 현실안맞는스토리도 조금 잇긴하지만 잘만들엇다. 무서움 겁 자체가 없는사람인데 개인적으로 역대모든공포쪽영화중 이영화가 가장 기이하면서 괴기햇던 공포스릴영화인듯.  기이하고 괴기한 그 포인트를 너무잘잡앗습니다  인정안하기엔 인상이확실히남아서 10점드립니다.",10
어느유명감독보다 더훌륭한연출에  배우들의 연기력 코믹한요소들이복합적으로 잘어울리고 웃음포인트도많고 정말 웃으면서잘보았습니다~~아이디어도 참 좋으시네요~재미있게잘봤습니다,10
간만에 재밌게 잘 웃고갑니다,10
극장서 애니를 여러편 봤지만 이렇게 잘보고 나왔다는게 이 영화가 첨인듯...,10
잘봤어요. 사랑 얘기여서 너무 좋았네요,10
밤새지 모를정도로 아주 재밌게봤음복선이 여러번이라 더 좋았음,10
보지마세요 시간낭비재미라도 있었으면 이렇게 승질나진 않을듯넷플릭스 상위권에 있다고 리뷰도 안찾아본내가 미워,2
이감독의 분위기가 좋다.잔잔한 호수에 작은돌을 던져 퍼지는 물결을 바라보는 느낌이랄까.,9
"반려인으로서 다시금 한번 굳게 다짐하게 하네요가족이니까~울기도 펑펑울고,마음도 따뜻해지는 영화였어요,배운분들 케미도 멍아기들과의 조합도 너무 좋은거같애요",10
이 영화는 댓글알바가 아니라 관객이 돈 받아야됨,4
삶에서 의미를 찾기 시작하다 허무주의로 내딛었던 나에게 주기적으로 필요한 영화 일 것 같다. 마지막 칸은 불꽃(목적)으로 채워지지 않는다. 아마 앞으로 살면서 몇번이고 까먹고 흔들리겠지만 그때의 내가 이 글을 읽고 다시 소울을 시간내서 봤으면 좋겠다.,10
"사투리가 생소해서 이질감이 좀 느껴지지만, 영상이 이쁘네요.",8
시간을 초월하는 사랑 ㅤㅤㅤㅤ,10
소소한 행복ㅤㅤㅤㅤ.,8
진짜 오래두고 생각날것같음 .  영상도 내용도 예쁜 보석함같은 영화. 하루하루가 삭막하고 무료하다면 더욱 보는걸 강추ㅠ ????,10
마블은 반성하라ㅤㅤㅤㅤ,5
"보이진 않지만 세상을 위해 이바지하는 사람들을 조명하는 듯한 모습은 좋았으나, 충분히 예상 가능한 방식으로 흘러가는 스토리가 아쉬웠다.",6
신고,8
롯데시네마에서  나 혼자뿐...였다.  대한민국 영화산업이  큰 변곡점을  맞고있다.,7
볼만해요,7
재밌어요,8
재밌어요,8
그저그래요,6
볼만해요,7
여정의 끝에서 자기 자신과 온전히 마주하다.여정 내내 사랑이 함께 했기에 가능할 수 있었던 일,10
압도적 영상미 그것만으로 힐링된다,10
살면서 영화리뷰는 처음쓰네요!!돈이야 내가 쓴거니 어쩔수 없지만.. 이거 보겠다고 영화관에 앉아있던 내 시간이 너무너무 아까웠음가볍게 웃을수 있는 영화? 진짜 그러지맙시다.어디 졸업작품도 안될껄 영화라고 만들어서 출연 배우들까지 고생에 욕 먹게 하는건지..고생해서 만들었겠지만 영화를 본 입장에서 아닌건 아니기에 이렇게 글을 남깁니다.,2
감동. 이런 영화 넘 좋다.,10
첫사랑!,10
그냥 쉬십시요..,1
이성민 배우님 최고ㅜㅜ 펑펑 움,10
알파치노와 로버트 드 니로를 한 스크린으로 볼 수 있다는 거 자체가 기념비적인 영화.,8
신고,10
현명하고 용감하고 감사한 분,9
기대 안하고 봤는데 몰입감있게 봤네요,10
전작보다 낫다는 말을 들었다. 그렇긴 했다.,6
너무 많은걸 담으려 했던건 아쉽지만 훌륭한 배우들 보는 재미가 쏠쏠했어요. 재미있게 봤습니다.,10
연출이나 연기며 액션은 정말 좋은데 내용이 뭐 알맹이가 없네여 연기는 정말 좋은데 스토리가 없으니 이정재씨와 황정민씨도 뭔가 어디서 본듯한 진부한 느낌마저 났어요,6
보는 내내 소름만 쭉 끼침;;,10
"최악본지 10분만에 나가고싶었음ost 하나보고 보러왔는데 내용도 없고 반복, 여주 감정선도 이해안되고 일본 애니보면서 유치해서 보기힘든건 처음이었음",1
재밋게봤음예상과 같았지만둘만의 대화로 긴장감있기 힘들거라 생각합니다심장 쫀쫀하게 잘봤습니다,10
너무 좋았네요 힐링영화,10
신고,10
재난시리즈중 최고임.,10
대학때 진하모니 합창단원들과 함께 이탈리아 순회 공연하기 앞서 성 요한 바오로 2세 교황님을 알현한 적이 있어서 매우 흥미롭게 본 영화,8
"연기 잘하는 멋진 배우들을 모셔 놓고 뭐하는 건지, 연출 및 구성 모두 너무 산만해 배우가 아까울 지경이었어요. 연출가의 역량에 따라 영화의 질이 달라질 수 있음을 느꼈네요. 그럼에도 불구하고 멋진 연기로 커버해 주신 배우님들 고생하셨습니다. 아울러 박성광님께서는 좀더 진솔하고 뜨겁게 공부하셔서 앞으로는 관람객들이 기분좋게 응원하고 박수칠 수 있게 해주세요. 연출에 불만은 있었지만 성광님의 첫걸음을 온마음으로 응원합니다. 박성광 감독 화이팅!    * 사랑하는 딸과 행복한 영화 데이트를 한 50대 엄마가 ..*",4
예상하면서 봤지만 마지막에 예상과 달라서 이게 반전이군 싶었던 영화나름 재밌게 봤음,8
개 ㅆㄴㅈ ~~!! 시간낭비,1
"알콜중독자 벤을 ""무조건""적으로 사랑하는 OO 세라 고딩때 봤는데 정말 감명깊게 본 작품 음악과 라스베거스의 분위기가 너무 잘어울린다 그들의 사랑은 비정상적일지 모르겠지만""진심""이 느껴져서 매우 짠했던 영화 죽기전에 세라같은 여자 만나보고 싶다",10
노잼...답답...,1
Ost랑 영상미가 너무좋음,10
그냥 뭐랄까...제작사 행태가 겁나 괘씸하네요.팬덤믿고 이따위로 편집해서 영화관에 내보내? 아니 진짜로 이걸 편집할 시간이 없었다고?  전투씬과 아이맥스 포스터 빼곤 아무것도 마음에 안드는 영화같지도 않은 영화. 모든 영화들에게 사죄하세요. 그래도 전투씬하고 성 부분은 좋았어~ 하면서 옹호하는 사람들도 이 그지같은 편집에 대해선 의의를 달기 힘들 것. 정말 그지 같거든요. 기본이 안되어있는데 무슨 평가를 해 ㅋㅋㅋ,2
처음에 기분나빠서 장난으로 했던 그 욕이 나중에 본인한테 돌아올때 어떤 기분이 들었을까?,8
돌맹이 떨어질때 울었다,10
