리뷰,별점
즐거운 웃음 감사합이다~,10
"뭘 이야기하려는지 모르겠다. 서독의 인권, 동독의 비밀경찰, 이주자들 간의 갈등...복선은 여기저기 깔아놓고 제대로 수습하는 건 없다. 모든 게 어정쩡. 출연자들의 연기는 인정.",4
꾀 볼만함 ㅎㅎ 강추합니다,10
대박임 걍 대박 진짜 너무너무너무 제밌음,10
개그맨 영화에 대한 편견과 선입견이 조금은 깨졌습니다. 이야기도 괜찮고 나름 감동도있고 재밌는 요소도 적절히 잘넣었네요. 앞으로의 행보도 응원합니다!,10
절대로 나만 당할순없다,10
MBTI에서 F들의 향연,9
완전잼있게봣습니다 ㅎㅎ,10
씹덕은 좋아하겠다..,2
아직 후기가 많이 없어 큰 기대 안하고 고민하다 봤는데 정말 좋았어요. 픽사 애니 특히 좋아하고 다양한 애니 많이 봐았는데 이제까지 본 애니메이션 영화 중에서도 손꼽을 만큼 좋았네요. 고민하시는 분은 보시길.,10
진짜 완전 재밌었음 ㅠㅠㅠㅠ????,10
400달러와 4000달러,8
우정은 양방향이다. 하지만 현대사회는 너무나도 복잡한 것이 현실이다.,8
너무 웃김ㅋㅋㅋ,10
알바 ㅈㄴ풀었네 보지마세요 내돈;;,1
"4D 3D로 두번 봤는데 뛰어난 영상미에 정신을 못차렸어요 자연의 소중함, 함께사는 지구 라는것을 또한번 느꼈어요  아바타의 배경은 물론 지구가 아니지만 ㅋ",9
영화를 만드는데 자격증같은건 필요없다.근데 이 영화를 보고나서영화감독 자격증이 필요하다는걸 처음 느껴봤다.만만하게 보고 준비도 안된 자들이 영화를 만드는건 여러 사람을 피곤하게 하는 일이다.,1
이걸 10점준놈들아.. 너네 그렇게살지마라...,1
"마블 빠 인데 보다가 3번정도 잤어요안자려고 노력했는데 잘 안됐네요단, 영상미 -> 마블 특유의 CG때문에 봤는데점점 유치해져가네요 마블 영화들이...",6
신고,8
별점 하나 주기도 아까운 최악의 영화,1
조금전에 보고왔어요재밌네요 아들이랑 보고왔는데 초등 아들도 정말 재밌게 봤네요 지루한 부분도 거의 없어요,9
반려동물과 가족의 소중함을 알게 해주는힐링 영화였어요 잘 봤습니다!,10
"그와 그의 연결고리, 그건 그들 안의 소리",8
신고,10
재미없다는 정도를 넘어섰다...,1
"내 눈물버튼. 서른마흔다섯개 정도. 손수건 챙기세요. 감독님 작품은 거의 다 봤지만, 그 중에 단연 최고였습니다.",10
"오늘보고왔는데 약간 허무맹랑한스토리라 첨엔 뭐지했는데 보면볼수록 재미있고 웃겨서 스트레스 날리고왔네요^^,박성광감독이라고 존중해야겠더군요.어떻게 그런 내용을 생각해 시나리오를쓰고 영화를만들생각을했는지 ㅎㅎ출현한카매오들도 웃겼지만 마지먹정우성배우는대박이었네요.웃음이필요한분들애겐적극강추합니다",10
